iso_code	location	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million	total_tests	new_tests	total_tests_per_thousand	new_tests_per_thousand	tests_units
USA	United States	2020-03-06	233	74	12	1	0.704	0.224	0.036	0.003
USA	United States	2020-03-07	338	105	14	2	1.021	0.317	0.042	0.006	2390.0		0.007		inconsistent units (COVID Tracking Project)
USA	United States	2020-03-08	433	95	17	3	1.308	0.287	0.051	0.009	3069.0	679.0	0.009	0.002	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-09	554	121	21	4	1.674	0.366	0.063	0.012	4398.0	1329.0	0.013	0.004	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-10	754	200	26	5	2.278	0.604	0.079	0.015	5184.0	786.0	0.016	0.002	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-11	1025	271	28	2	3.097	0.819	0.085	0.006	7870.0	2686.0	0.024	0.008	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-12	1312	287	30	2	3.964	0.867	0.091	0.006	10269.0	2399.0	0.031	0.007	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-13	1663	351	40	10	5.024	1.06	0.121	0.03	16716.0	6447.0	0.05	0.019	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-14	2174	511	47	7	6.568	1.544	0.142	0.021	20960.0	4244.0	0.063	0.013	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-15	2951	777	57	10	8.915	2.347	0.172	0.03	27540.0	6580.0	0.083	0.02	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-16	3774	823	69	12	11.402	2.486	0.208	0.036	42300.0	14760.0	0.128	0.045	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-17	4661	887	85	16	14.081	2.68	0.257	0.048	56440.0	14140.0	0.17	0.043	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-18	6427	1766	108	23	19.417	5.335	0.326	0.069	78131.0	21691.0	0.236	0.065	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-19	9415	2988	150	42	28.444	9.027	0.453	0.127	104099.0	25968.0	0.314	0.078	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-20	14250	4835	150	0	43.051	14.607	0.453	0.0	139906.0	35807.0	0.422	0.108	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-21	19624	5374	260	110	59.287	16.236	0.785	0.332	185003.0	45097.0	0.558	0.136	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-22	26747	7123	340	80	80.806	21.519	1.027	0.242	231533.0	46530.0	0.699	0.14	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-23	35206	8459	471	131	106.362	25.556	1.423	0.396	287265.0	55732.0	0.867	0.168	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-24	46442	11236	590	119	140.307	33.945	1.782	0.36	353854.0	66589.0	1.068	0.201	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-25	55231	8789	801	211	166.86	26.553	2.42	0.637	432749.0	78895.0	1.306	0.238	inconsistent units (COVID Tracking Project)
USA	United States	2020-03-26	69194	13963	1050	249	209.044	42.184	3.172	0.752	529148.0	96399.0	1.597	0.291	inconsistent units (COVID Tracking Project)
